"Label (Grouping)","Massachusetts!!Number!!Estimate","Massachusetts!!Number!!Margin of Error","Massachusetts!!Percent Distribution!!Estimate","Massachusetts!!Percent Distribution!!Margin of Error","Massachusetts!!Median income (dollars)!!Estimate","Massachusetts!!Median income (dollars)!!Margin of Error","Utah!!Number!!Estimate","Utah!!Number!!Margin of Error","Utah!!Percent Distribution!!Estimate","Utah!!Percent Distribution!!Margin of Error","Utah!!Median income (dollars)!!Estimate","Utah!!Median income (dollars)!!Margin of Error"
"    2 earners","761,093","±12,743","44.1%","±0.6","151,218","±2,367","369,480","±7,681","44.5%","±0.7","109,104","±2,386"
"    3 or more earners","259,495","±8,550","15.0%","±0.5","180,581","±3,790","147,616","±5,459","17.8%","±0.6","150,557","±3,672"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","",""
"    Nonfamily households","1,073,421","±13,764","1,073,421","±13,764","55,979","±1,580","299,061","±7,544","299,061","±7,544","51,496","±1,620"
"        Female householder","596,925","±9,760","55.6%","±0.7","50,993","±1,927","153,496","±4,800","51.3%","±1.4","44,745","±2,636"
"            Living alone","469,279","±9,876","43.7%","±0.8","40,451","±1,283","114,351","±4,949","38.2%","±1.5","37,563","±1,907"
"            Not living alone","127,646","±6,557","11.9%","±0.6","109,228","±4,315","39,145","±3,549","13.1%","±1.2","74,464","±3,625"
"        Male householder","476,496","±10,343","44.4%","±0.7","63,228","±2,126","145,565","±6,214","48.7%","±1.4","59,132","±3,919"
"            Living alone","345,978","±9,974","32.2%","±0.8","48,866","±2,927","105,575","±5,133","35.3%","±1.4","50,176","±2,453"
"            Not living alone","130,518","±6,326","12.2%","±0.6","119,533","±6,827","39,990","±3,825","13.4%","±1.2","91,383","±12,440"
